cenario,instancias,usuarios,req_per_sec,resp_medio,falhas
1,1,100,56.44695290617,134.9244642897374,0
1,1,200,102.22617362483145,122.60156998699377,0
1,1,900,299.12380921019604,445.2134422715999,50
1,3,900,263.29226159871644,737.6276743957712,35
1,5,900,204.80442901273773,1593.3925743781135,650
2,1,900,192.9734544889363,1543.5170282974534,30
2,3,900,173.34009281421828,1885.96991128198,174
2,5,900,173.9314665426363,1880.030002430903,156
3,1,900,278.281359192091,593.5364921766452,40
3,3,900,241.16866053322843,957.2097826648323,25
3,5,900,235.15799697018525,1039.621569979939,24
4,1,900,214.9758958129933,1292.9891085218758,21
4,3,900,220.50046219623357,1165.8523200093805,27
4,5,900,200.8827027250384,1471.3128937066836,8
